project;bugtype;count
RxJava;JMH_BENCHMARK_METHOD_FOUND;122
RxJava;JMH_LOOP_INSIDE_BENCHMARK;13
RxJava;JMH_STATE_FINAL_FIELD;132
netty;JMH_BENCHMARK_METHOD_FOUND;143
netty;JMH_IGNORED_METHOD_RETURN;88
netty;JMH_LOOP_INSIDE_BENCHMARK;30
netty;JMH_STATE_FINAL_FIELD;327
netty;JMH_FIXTURE_USING_INVOCATION_SCOPE;3
zipkin;JMH_BENCHMARK_METHOD_FOUND;52
zipkin;JMH_STATE_FINAL_FIELD;69
druid;JMH_BENCHMARK_METHOD_FOUND;127
druid;JMH_LOOP_INSIDE_BENCHMARK;148
druid;JMH_STATE_FINAL_FIELD;328
druid;JMH_IGNORED_METHOD_RETURN;20
druid;JMH_FIXTURE_USING_INVOCATION_SCOPE;1
okio;JMH_BENCHMARK_METHOD_FOUND;11
okio;JMH_IGNORED_METHOD_RETURN;5
okio;JMH_STATE_FINAL_FIELD;34
okio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1
grpc-java;JMH_BENCHMARK_METHOD_FOUND;18
grpc-java;JMH_STATE_FINAL_FIELD;26
grpc-java;JMH_LOOP_INSIDE_BENCHMARK;6
grpc-java;JMH_IGNORED_METHOD_RETURN;2
caffeine;JMH_BENCHMARK_METHOD_FOUND;37
caffeine;JMH_STATE_FINAL_FIELD;141
caffeine;JMH_LOOP_INSIDE_BENCHMARK;9
caffeine;JMH_IGNORED_METHOD_RETURN;1
h2o-3;JMH_BENCHMARK_METHOD_FOUND;14
h2o-3;JMH_FIXTURE_USING_INVOCATION_SCOPE;8
h2o-3;JMH_STATE_FINAL_FIELD;48
h2o-3;JMH_LOOP_INSIDE_BENCHMARK;12
gs-collections;JMH_BENCHMARK_METHOD_FOUND;451
gs-collections;JMH_STATE_FINAL_FIELD;520
gs-collections;JMH_IGNORED_METHOD_RETURN;41
gs-collections;JMH_LOOP_INSIDE_BENCHMARK;114
byte-buddy;JMH_BENCHMARK_METHOD_FOUND;39
byte-buddy;JMH_STATE_FINAL_FIELD;42
pinot;JMH_BENCHMARK_METHOD_FOUND;25
pinot;JMH_LOOP_INSIDE_BENCHMARK;25
pinot;JMH_STATE_FINAL_FIELD;54
JCTools;JMH_BENCHMARK_METHOD_FOUND;90
JCTools;JMH_STATE_FINAL_FIELD;355
JCTools;JMH_LOOP_INSIDE_BENCHMARK;41
JCTools;JMH_IGNORED_METHOD_RETURN;8
JCTools;JMH_FIXTURE_USING_INVOCATION_SCOPE;2
apollo;JMH_BENCHMARK_METHOD_FOUND;1
apollo;JMH_IGNORED_METHOD_RETURN;1
apollo;JMH_LOOP_INSIDE_BENCHMARK;2
apollo;JMH_STATE_FINAL_FIELD;12
stagemonitor;JMH_BENCHMARK_METHOD_FOUND;6
stagemonitor;JMH_LOOP_INSIDE_BENCHMARK;2
stagemonitor;JMH_STATE_FINAL_FIELD;14
stagemonitor;JMH_IGNORED_METHOD_RETURN;1
java;JMH_BENCHMARK_METHOD_FOUND;2
java;JMH_LOOP_INSIDE_BENCHMARK;2
java;JMH_STATE_FINAL_FIELD;6
pushy;JMH_BENCHMARKMODE_SINGLESHOT;1
pushy;JMH_BENCHMARK_METHOD_FOUND;2
pushy;JMH_IGNORED_METHOD_RETURN;2
pushy;JMH_LOOP_INSIDE_BENCHMARK;1
pushy;JMH_STATE_FINAL_FIELD;23
blynk-server;JMH_BENCHMARK_METHOD_FOUND;12
blynk-server;JMH_STATE_FINAL_FIELD;6
cyclops-react;JMH_BENCHMARK_METHOD_FOUND;25
cyclops-react;JMH_IGNORED_METHOD_RETURN;11
cyclops-react;JMH_LOOP_INSIDE_BENCHMARK;12
cyclops-react;JMH_STATE_FINAL_FIELD;26
