project;bugtype;count;version
feign;JMH_BENCHMARK_METHOD_FOUND;8;5d17c6a7ce623deb78b185efde598c8b9158aa5d
feign;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
feign;JMH_STATE_FINAL_FIELD;19;5d17c6a7ce623deb78b185efde598c8b9158aa5d
netty;JMH_BENCHMARK_METHOD_FOUND;159;5d17c6a7ce623deb78b185efde598c8b9158aa5d
netty;JMH_IGNORED_METHOD_RETURN;93;5d17c6a7ce623deb78b185efde598c8b9158aa5d
netty;JMH_LOOP_INSIDE_BENCHMARK;36;5d17c6a7ce623deb78b185efde598c8b9158aa5d
netty;JMH_STATE_FINAL_FIELD;384;5d17c6a7ce623deb78b185efde598c8b9158aa5d
netty;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
zipkin;JMH_BENCHMARK_METHOD_FOUND;74;5d17c6a7ce623deb78b185efde598c8b9158aa5d
zipkin;JMH_STATE_FINAL_FIELD;96;5d17c6a7ce623deb78b185efde598c8b9158aa5d
zipkin;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
druid;JMH_BENCHMARK_METHOD_FOUND;148;5d17c6a7ce623deb78b185efde598c8b9158aa5d
druid;JMH_LOOP_INSIDE_BENCHMARK;163;5d17c6a7ce623deb78b185efde598c8b9158aa5d
druid;JMH_STATE_FINAL_FIELD;360;5d17c6a7ce623deb78b185efde598c8b9158aa5d
druid;JMH_IGNORED_METHOD_RETURN;22;5d17c6a7ce623deb78b185efde598c8b9158aa5d
druid;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
okio;JMH_BENCHMARK_METHOD_FOUND;19;5d17c6a7ce623deb78b185efde598c8b9158aa5d
okio;JMH_IGNORED_METHOD_RETURN;20;5d17c6a7ce623deb78b185efde598c8b9158aa5d
okio;JMH_LOOP_INSIDE_BENCHMARK;5;5d17c6a7ce623deb78b185efde598c8b9158aa5d
okio;JMH_STATE_FINAL_FIELD;44;5d17c6a7ce623deb78b185efde598c8b9158aa5d
okio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
caffeine;JMH_BENCHMARK_METHOD_FOUND;38;5d17c6a7ce623deb78b185efde598c8b9158aa5d
