project,forked,watchers,stars,forks,subscribers
Netflix/feign,FALSE,1716,1716,335,276
netty/netty,FALSE,9746,9746,4775,1243
ReactiveX/RxJava,FALSE,23558,23558,4143,1754
openzipkin/zipkin,FALSE,5627,5627,851,507
druid-io/druid,FALSE,4743,4743,1132,457
square/okio,FALSE,3703,3703,601,220
grpc/grpc-java,FALSE,2631,2631,821,380
ben-manes/caffeine,FALSE,2414,2414,192,176
h2oai/h2o-3,FALSE,1943,1943,836,283
requery/requery,FALSE,1841,1841,140,77
goldmansachs/gs-collections,FALSE,1652,1652,247,204
crate/crate,FALSE,1637,1637,202,136
raphw/byte-buddy,FALSE,1495,1495,156,97
linkedin/pinot,FALSE,1475,1475,258,173
real-logic/simple-binary-encoding,FALSE,1077,1077,195,154
JCTools/JCTools,FALSE,1053,1053,149,134
spotify/apollo,FALSE,1023,1023,124,128
jbachorik/btrace,FALSE,993,993,196,166
stagemonitor/stagemonitor,FALSE,929,929,147,81
promeG/TinyPinyin,FALSE,901,901,130,28
jgrapht/jgrapht,TRUE,846,846,346,99
json-iterator/java,FALSE,623,623,143,64
relayrides/pushy,FALSE,603,603,183,134
blynkkk/blynk-server,FALSE,569,569,198,87
aol/cyclops-react,FALSE,568,568,60,72
lemire/RoaringBitmap,FALSE,529,529,107,47
RoaringBitmap/RoaringBitmap,FALSE,529,529,107,47
davidmoten/rtree,FALSE,482,482,90,41
atlassian/commonmark-java,FALSE,385,385,49,76
carrotsearch/hppc,FALSE,373,373,65,51
pcollections/pcollections,FALSE,357,357,36,27
eventsourcing/es4j,FALSE,352,352,18,21
ktoso/sbt-jmh,FALSE,347,347,47,19
junkdog/artemis-odb,FALSE,326,326,58,35
pgjdbc/pgjdbc,FALSE,322,322,249,66
fakemongo/fongo,TRUE,305,305,102,25
spring-cloud/spring-cloud-sleuth,FALSE,301,301,170,60
graalvm/truffle,FALSE,290,290,38,47
graalvm/graal-core,FALSE,281,281,52,60
apache/logging-log4j2,FALSE,256,256,194,44
JetBrains/xodus,FALSE,248,248,28,72
RobWin/javaslang-circuitbreaker,FALSE,224,224,38,21
javaslang/javaslang-circuitbreaker,FALSE,224,224,38,21
x-stream/xstream,FALSE,214,214,72,26
google/conscrypt,FALSE,212,212,32,14
dropbox/dropbox-sdk-java,FALSE,206,206,190,36
davidmoten/rxjava-extras,FALSE,202,202,16,14
airlift/airlift,FALSE,195,195,101,34
easymock/objenesis,FALSE,192,192,38,28
glowroot/glowroot,FALSE,184,184,43,27
jenetics/jenetics,FALSE,183,183,42,26
davidmoten/geo,FALSE,182,182,45,27
HubSpot/jinjava,FALSE,180,180,41,42
snazy/ohc,FALSE,175,175,31,21
opendaylight/controller,FALSE,173,173,207,68
vsch/flexmark-java,FALSE,155,155,24,23
Netflix/spectator,FALSE,152,152,49,256
akarnokd/ixjava,FALSE,148,148,6,16
dmart28/reveno,FALSE,147,147,38,32
ReactiveSocket/reactivesocket-java,FALSE,147,147,34,24
SquidPony/SquidLib,FALSE,137,137,27,24
mini2Dx/mini2Dx,FALSE,137,137,10,24
shunfei/indexr,FALSE,136,136,52,25
twitter/hpack,FALSE,135,135,36,144
johnlcox/motif,FALSE,130,130,2,13
akarnokd/RxJava2Extensions,FALSE,126,126,5,16
arnaudroger/SimpleFlatMapper,FALSE,126,126,23,8
mp911de/logstash-gelf,FALSE,121,121,26,12
reactor/reactive-streams-commons,FALSE,106,106,14,32
uber/tchannel-java,FALSE,95,95,41,2187
pinterest/jbender,FALSE,95,95,18,17
vladimir-bukhtoyarov/bucket4j,FALSE,94,94,20,9
GumTreeDiff/gumtree,FALSE,90,90,37,16
Devexperts/aprof,FALSE,90,90,9,14
fabienrenaud/java-json-benchmark,FALSE,81,81,13,9
pietermartin/sqlg,FALSE,78,78,23,10
foursquare/fsqio,FALSE,75,75,17,74
DanielThomas/spring-boot-starter-netty,FALSE,70,70,41,15
airlift/aircompressor,FALSE,70,70,10,13
eseifert/gral,FALSE,68,68,18,9
TridentSDK/Trident,FALSE,64,64,23,22
spotify/sparkey-java,FALSE,63,63,17,25
Barteks2x/CubicChunks,FALSE,63,63,15,25
paritytrading/parity,FALSE,62,62,20,15
apptik/RHub,FALSE,62,62,4,10
apptik/rxHub,FALSE,62,62,4,10
mbosecke/template-benchmark,FALSE,57,57,32,11
robinst/autolink-java,FALSE,56,56,13,5
servicefabric/servicefabric,FALSE,55,55,17,18
scalecube/scalecube,FALSE,55,55,17,18
MeteoGroup/jbrotli,FALSE,53,53,7,12
belliottsmith/injector,FALSE,53,53,8,5
apptik/jus,FALSE,53,53,6,4
Mojang/blixtser,FALSE,52,52,9,19
TridentSDK/TridentSDK,FALSE,49,49,26,23
nitsanw/jmh-samples,FALSE,48,48,17,3
spotify/completable-futures,FALSE,47,47,9,108
mikvor/hashmapTest,FALSE,44,44,17,11
eclipse/eclipselink.runtime,FALSE,43,43,60,19
kpavlov/fixio,FALSE,43,43,33,14
lmdbjava/benchmarks,FALSE,42,42,5,9
bramp/unsafe,FALSE,36,36,16,6
gvsmirnov/java-perv,FALSE,35,35,12,6
opendaylight/yangtools,FALSE,34,34,54,16
smoketurner/notification,FALSE,34,34,2,3
rxin/jvm-unsafe-utils,FALSE,33,33,13,12
arteam/100-Java-Concurrency-questions,FALSE,33,33,14,5
benalexau/hash-bench,FALSE,32,32,2,8
arnohaase/a-foundation,FALSE,30,30,7,10
netzwerg/paleo,FALSE,29,29,6,8
real-logic/benchmarks,FALSE,28,28,7,5
neowu/core-ng-project,FALSE,27,27,16,18
vsonnier/hppcrt,TRUE,27,27,2,4
