project,forked,watchers,stars,forks,subscribers
ReactiveX/RxJava,FALSE,23558,23558,4143,1754
Netflix/feign,FALSE,1716,1716,335,276
netty/netty,FALSE,9746,9746,4775,1243
openzipkin/zipkin,FALSE,5627,5627,851,507
druid-io/druid,FALSE,4743,4743,1132,457
square/okio,FALSE,3703,3703,601,220
grpc/grpc-java,FALSE,2631,2631,821,380
ben-manes/caffeine,FALSE,2414,2414,192,176
h2oai/h2o-3,FALSE,1943,1943,836,283
requery/requery,FALSE,1841,1841,140,77
goldmansachs/gs-collections,FALSE,1652,1652,247,204
crate/crate,FALSE,1637,1637,202,136
raphw/byte-buddy,FALSE,1495,1495,156,97
linkedin/pinot,FALSE,1475,1475,258,173
real-logic/simple-binary-encoding,FALSE,1077,1077,195,154
JCTools/JCTools,FALSE,1053,1053,149,134
spotify/apollo,FALSE,1023,1023,124,128
jbachorik/btrace,FALSE,993,993,196,166
stagemonitor/stagemonitor,FALSE,929,929,147,81
promeG/TinyPinyin,FALSE,901,901,130,28
jgrapht/jgrapht,TRUE,846,846,346,99
